timestamp,frame_number,time_since_start_ms,frame_duration_ms,diameter_um,diameter_std_um,purity_pct,speed_mm_s,crop_height_mm,n_points,centroid_x,centroid_y,measurement_quality
2025-12-11T16:16:18.622889,1,82.865,0.0,410.26,7.41,86.58,1.40,0.10,114,808.70,60.51,good
2025-12-11T16:16:18.694755,2,154.731,71.866,408.25,8.42,86.63,1.80,0.10,114,808.74,60.53,good
2025-12-11T16:16:18.804823,3,264.799,110.068,408.22,8.38,86.48,1.33,0.10,114,808.74,60.53,good
2025-12-11T16:16:18.876646,4,336.62199999999996,71.823,406.05,10.50,86.60,1.76,0.10,114,808.65,60.52,good
2025-12-11T16:16:18.946956,5,406.932,70.31,410.40,8.05,86.71,1.60,0.10,114,808.61,60.49,good
2025-12-11T16:16:19.050411,6,510.38700000000006,103.455,408.53,7.95,86.38,1.31,0.10,114,808.57,60.51,good
2025-12-11T16:16:19.146370,7,606.346,95.959,408.47,8.48,86.66,1.29,0.10,114,808.32,60.51,good
2025-12-11T16:16:19.241227,8,701.203,94.857,409.13,8.52,86.78,1.27,0.10,114,808.33,60.51,good
2025-12-11T16:16:19.328220,9,788.196,86.993,408.64,9.15,86.74,1.28,0.10,114,808.42,60.51,good
2025-12-11T16:16:19.397079,10,857.0550000000001,68.85900000000001,408.34,8.65,86.56,1.82,0.10,114,808.24,60.52,good
2025-12-11T16:16:19.504556,11,964.5319999999999,107.477,409.51,7.92,86.66,1.35,0.10,114,808.24,60.51,good
2025-12-11T16:16:19.579351,12,1039.327,74.795,409.32,7.84,86.52,1.69,0.10,114,808.14,60.50,good
2025-12-11T16:16:19.676955,13,1136.9309999999998,97.604,408.47,8.33,86.66,1.56,0.10,114,808.26,60.50,good
2025-12-11T16:16:19.773994,14,1233.97,97.039,408.34,8.14,86.74,1.42,0.10,114,808.34,60.51,good
