timestamp,frame_number,time_since_start_ms,frame_duration_ms,diameter_um,diameter_std_um,purity_pct,speed_mm_s,crop_height_mm,n_points,centroid_x,centroid_y,measurement_quality
2025-12-12T15:04:31.607494,1,95.94900000000001,0.0,808.17,7.10,65.42,0.96,0.10,122,552.78,59.30,good
2025-12-12T15:04:31.731628,2,220.083,124.134,807.90,5.44,60.27,1.02,0.10,122,558.23,59.30,good
2025-12-12T15:04:31.820701,3,309.156,89.073,811.33,10.86,64.11,1.68,0.10,122,564.36,59.19,good
2025-12-12T15:04:31.946236,4,434.691,125.53500000000001,808.52,3.99,61.75,1.01,0.10,122,558.88,59.25,good
2025-12-12T15:04:32.063638,5,552.093,117.402,834.44,3.65,64.48,1.07,0.10,122,571.89,59.18,good
2025-12-12T15:04:32.185174,6,673.629,121.536,835.20,3.46,67.40,1.04,0.10,122,566.52,59.09,good
2025-12-12T15:04:32.307193,7,795.648,122.019,846.94,9.99,73.15,1.03,0.10,122,578.16,59.25,good
2025-12-12T15:04:32.430133,8,918.588,122.94,840.17,5.77,70.64,1.08,0.10,122,554.92,59.11,good
2025-12-12T15:04:32.555674,9,1044.1290000000001,125.54100000000001,847.68,1.19,68.27,1.01,0.10,122,557.07,59.15,good
2025-12-12T15:04:32.681240,10,1169.695,125.56600000000002,853.00,7.97,75.81,1.04,0.10,122,563.98,59.09,good
2025-12-12T15:04:32.849090,11,1337.545,167.85,858.37,13.80,75.91,0.80,0.10,122,560.07,59.12,good
2025-12-12T15:04:32.977092,12,1465.547,128.002,851.47,7.32,72.82,0.97,0.10,122,558.14,59.00,good
2025-12-12T15:04:33.102821,13,1591.2759999999998,125.72900000000001,854.90,9.81,72.94,1.00,0.10,122,557.94,59.04,good
2025-12-12T15:04:33.245258,14,1733.713,142.437,862.60,7.43,76.01,0.91,0.10,122,562.72,58.98,good
2025-12-12T15:04:33.399680,15,1888.135,154.422,864.14,9.43,80.52,0.80,0.10,122,544.42,59.01,good
2025-12-12T15:04:33.549375,16,2037.83,149.695,762.22,8.97,71.83,0.80,0.10,122,510.08,59.52,good
2025-12-12T15:04:33.670909,17,2159.364,121.534,753.32,5.37,73.78,1.03,0.10,122,486.33,59.56,good
2025-12-12T15:04:33.793306,18,2281.761,122.397,801.96,10.40,65.55,1.02,0.10,122,516.70,59.27,good
2025-12-12T15:04:33.947082,19,2435.5370000000003,153.77599999999998,861.22,5.27,70.14,0.79,0.10,122,548.47,59.01,good
2025-12-12T15:04:34.034643,20,2523.098,87.561,949.04,8.53,86.65,1.57,0.10,122,478.49,58.92,good
2025-12-12T15:04:34.180862,21,2669.317,146.219,777.71,4.52,80.99,0.85,0.10,122,602.40,58.90,good
2025-12-12T15:04:34.342681,22,2831.136,161.819,887.53,7.19,82.80,0.79,0.10,122,559.85,59.07,good
2025-12-12T15:04:34.493792,23,2982.2470000000003,151.111,894.84,16.43,87.37,0.80,0.10,122,399.47,58.93,good
2025-12-12T15:04:34.614757,24,3103.212,120.965,893.86,10.17,82.73,1.03,0.10,122,478.36,58.91,good
2025-12-12T15:04:34.743466,25,3231.921,128.709,893.37,7.50,82.80,1.02,0.10,122,605.11,58.87,good
2025-12-12T15:04:34.894927,26,3383.382,151.461,906.27,10.61,82.30,0.82,0.10,122,496.62,58.99,good
2025-12-12T15:04:35.024356,27,3512.811,129.429,852.13,12.53,83.98,1.02,0.10,122,550.23,58.90,good
2025-12-12T15:04:35.161489,28,3649.944,137.133,760.00,7.79,81.50,0.99,0.10,122,496.09,59.28,good
2025-12-12T15:04:35.250912,29,3739.367,89.423,742.86,11.04,78.37,1.54,0.10,122,476.18,59.24,good
2025-12-12T15:04:35.406971,30,3895.426,156.059,741.44,3.77,73.90,0.78,0.10,122,510.40,59.32,good
2025-12-12T15:04:35.491991,31,3980.4460000000004,85.02,830.61,9.08,70.46,1.63,0.10,122,488.19,59.19,good
2025-12-12T15:04:35.615136,32,4103.590999999999,123.14500000000001,808.91,5.67,81.84,1.03,0.10,122,500.52,59.24,good
2025-12-12T15:04:35.741578,33,4230.032999999999,126.442,762.91,6.54,79.12,1.00,0.10,122,455.56,59.29,good
2025-12-12T15:04:35.891461,34,4379.915999999999,149.88299999999998,727.20,3.64,80.46,0.80,0.10,122,585.44,59.42,good
2025-12-12T15:04:36.014283,35,4502.738,122.822,835.68,4.49,75.14,1.01,0.10,122,508.04,59.17,good
2025-12-12T15:04:36.136028,36,4624.482999999999,121.745,1011.26,9.04,85.09,1.03,0.10,122,510.28,58.58,good
2025-12-12T15:04:36.321852,37,4810.307,185.82399999999998,0.00,0.00,0.00,0.64,0.10,0,nan,nan,low_confidence
2025-12-12T15:04:36.435470,38,4923.924999999999,113.618,1137.14,7.17,58.55,1.12,0.10,122,490.33,59.07,good
2025-12-12T15:04:36.519404,39,5007.8589999999995,83.934,1196.99,11.70,92.19,1.77,0.10,122,516.36,59.06,good
2025-12-12T15:04:36.606589,40,5095.044,87.185,1232.64,12.65,95.67,1.79,0.10,122,535.37,58.99,good
2025-12-12T15:04:36.755136,41,5243.591,148.54700000000003,1248.67,14.25,93.01,0.87,0.10,122,541.56,59.00,good
2025-12-12T15:04:36.867461,42,5355.915999999999,112.32499999999999,1232.35,10.54,89.71,1.14,0.10,122,533.65,59.03,good
2025-12-12T15:04:37.014095,43,5502.55,146.634,1013.69,8.74,89.57,0.86,0.10,122,495.93,58.72,good
2025-12-12T15:04:37.133658,44,5622.112999999999,119.563,872.35,14.50,79.29,1.06,0.10,122,513.46,58.91,good
2025-12-12T15:04:37.255867,45,5744.322,122.209,1176.70,8.35,55.88,1.10,0.10,122,509.74,59.06,good
2025-12-12T15:04:37.364698,46,5853.153,108.831,1235.24,14.01,93.25,1.33,0.10,122,533.11,59.01,good
2025-12-12T15:04:37.487677,47,5976.132,122.979,1148.07,3.90,90.16,1.04,0.10,122,499.87,58.91,good
2025-12-12T15:04:37.611391,48,6099.8460000000005,123.714,1189.01,5.18,83.82,1.08,0.10,122,516.39,58.89,good
2025-12-12T15:04:37.764417,49,6252.872,153.02599999999998,1265.15,15.79,89.55,0.91,0.10,122,552.09,58.99,good
2025-12-12T15:04:37.893304,50,6381.759,128.887,1262.82,10.51,93.73,1.11,0.10,122,549.00,59.05,good
2025-12-12T15:04:37.981801,51,6470.256,88.497,1248.68,17.22,93.98,1.72,0.10,122,541.11,58.96,good
2025-12-12T15:04:38.100308,52,6588.763,118.507,1268.53,18.33,91.77,1.14,0.10,122,552.29,58.97,good
2025-12-12T15:04:38.223107,53,6711.562,122.799,1274.93,17.34,92.63,1.11,0.10,122,557.32,58.93,good
2025-12-12T15:04:38.337800,54,6826.255,114.693,1283.00,18.97,92.73,1.35,0.10,122,562.47,58.91,good
2025-12-12T15:04:38.424834,55,6913.289,87.034,1284.71,18.24,93.19,1.82,0.10,122,562.56,58.92,good
2025-12-12T15:04:38.527416,56,7015.871,102.58200000000001,1287.55,20.60,94.17,1.37,0.10,122,565.73,58.92,good
2025-12-12T15:04:38.621660,57,7110.115000000001,94.244,1285.69,19.93,92.93,1.82,0.10,122,563.33,58.91,good
2025-12-12T15:04:38.707621,58,7196.076,85.961,1287.32,17.95,93.91,1.76,0.10,122,563.13,58.92,good
2025-12-12T15:04:38.796060,59,7284.514999999999,88.43900000000001,1290.65,19.58,94.12,1.82,0.10,122,564.99,58.91,good
2025-12-12T15:04:38.981302,60,7469.7570000000005,185.242,0.00,0.00,0.00,0.63,0.10,0,nan,nan,low_confidence
2025-12-12T15:04:39.071488,61,7559.942999999999,90.186,1300.20,20.19,93.04,1.77,0.10,122,569.26,58.91,good
2025-12-12T15:04:39.195327,62,7683.782,123.839,1288.41,16.71,93.32,1.14,0.10,122,566.61,58.92,good
2025-12-12T15:04:39.417394,63,7905.849,222.06699999999998,0.00,0.00,0.00,0.54,0.10,0,nan,nan,low_confidence
2025-12-12T15:04:39.538114,64,8026.569,120.72,1325.55,15.22,91.06,1.16,0.10,122,576.58,58.97,good
2025-12-12T15:04:39.646353,65,8134.808,108.239,1278.10,20.14,94.24,1.35,0.10,122,564.32,58.94,good
2025-12-12T15:04:39.763263,66,8251.718,116.91,1349.67,20.98,93.00,1.13,0.10,122,589.73,58.94,good
2025-12-12T15:04:39.847209,67,8335.663999999999,83.94600000000001,1443.80,20.43,87.86,1.79,0.10,122,626.39,59.02,good
2025-12-12T15:04:39.932392,68,8420.847,85.18299999999999,1405.30,17.75,91.99,1.74,0.10,122,612.71,58.97,good
2025-12-12T15:04:40.018263,69,8506.717999999999,85.87100000000001,1360.99,21.51,96.38,1.78,0.10,122,598.34,58.93,good
2025-12-12T15:04:40.107553,70,8596.008,89.28999999999999,1356.12,19.07,95.38,1.77,0.10,122,596.36,58.95,good
2025-12-12T15:04:40.304075,71,8792.529999999999,196.522,0.00,0.00,0.00,0.61,0.10,0,nan,nan,low_confidence
2025-12-12T15:04:40.444998,72,8933.453,140.923,1351.84,20.26,95.32,0.87,0.10,122,593.14,58.95,good
2025-12-12T15:04:40.532320,73,9020.775,87.322,1333.40,17.45,93.70,1.80,0.10,122,581.93,58.92,good
2025-12-12T15:04:40.642331,74,9130.786,110.011,1329.63,20.18,94.01,1.34,0.10,122,581.51,58.93,good
2025-12-12T15:04:40.767450,75,9255.905,125.11900000000001,1282.20,19.28,94.38,1.15,0.10,122,565.55,58.92,good
2025-12-12T15:04:40.914855,76,9403.31,147.405,1270.83,19.92,95.50,0.87,0.10,122,559.74,58.88,good
2025-12-12T15:04:41.057403,77,9545.858,142.548,1220.52,19.85,96.23,0.86,0.10,122,538.48,58.83,good
